Unnamed: 0,CTUID,DGUID,CTNAME,LANDAREA,PRUID,total_hospitals_within_30_mins_before,total_hospitals_within_30_mins_after,total_hospitals_within_30_mins_diff
293,5350260.06,2021S05075350260.06,260.06,0.9202,35,1.0,4.0,3.0
294,5350260.07,2021S05075350260.07,260.07,0.3446,35,0.0,0.0,0.0
295,5350183.01,2021S05075350183.01,183.01,0.5241,35,1.0,4.0,3.0
296,5350183.02,2021S05075350183.02,183.02,0.4281,35,1.0,4.0,3.0
297,5350028.01,2021S05075350028.01,28.01,0.2058,35,1.0,4.0,3.0
298,5350028.02,2021S05075350028.02,28.02,0.4633,35,1.0,3.0,2.0
299,5350063.03,2021S05075350063.03,63.03,0.0934,35,9.0,12.0,3.0
300,5350063.04,2021S05075350063.04,63.04,0.1409,35,11.0,13.0,2.0
301,5350065.01,2021S05075350065.01,65.01,0.0861,35,8.0,10.0,2.0
302,5350050.01,2021S05075350050.01,50.01,1.2981,35,0.0,0.0,0.0
303,5350097.01,2021S05075350097.01,97.01,0.3799,35,6.0,9.0,3.0
304,5350065.02,2021S05075350065.02,65.02,0.1434,35,3.0,5.0,2.0
305,5350128.02,2021S05075350128.02,128.02,0.5187,35,4.0,5.0,1.0
306,5350156.01,2021S05075350156.01,156.01,0.6031,35,2.0,5.0,3.0
307,5350156.02,2021S05075350156.02,156.02,0.5874,35,1.0,4.0,3.0
308,5350169.01,2021S05075350169.01,169.01,0.3781,35,1.0,2.0,1.0
309,5350169.02,2021S05075350169.02,169.02,0.4378,35,0.0,0.0,0.0
310,5350175.01,2021S05075350175.01,175.01,0.7906,35,1.0,4.0,3.0
311,5350175.02,2021S05075350175.02,175.02,0.7229,35,1.0,2.0,1.0
312,5350184.01,2021S05075350184.01,184.01,0.4741,35,3.0,4.0,1.0
313,5350184.02,2021S05075350184.02,184.02,0.5571,35,2.0,3.0,1.0
314,5350185.01,2021S05075350185.01,185.01,0.4992,35,2.0,5.0,3.0
315,5350185.02,2021S05075350185.02,185.02,1.1945,35,3.0,6.0,3.0
316,5350190.01,2021S05075350190.01,190.01,0.3985,35,1.0,2.0,1.0
317,5350190.02,2021S05075350190.02,190.02,0.5813,35,0.0,0.0,0.0
318,5350221.01,2021S05075350221.01,221.01,1.6291,35,0.0,0.0,0.0
319,5350221.02,2021S05075350221.02,221.02,0.805,35,0.0,0.0,0.0
320,5350222.01,2021S05075350222.01,222.01,1.2848,35,0.0,0.0,0.0
321,5350222.02,2021S05075350222.02,222.02,1.2002,35,0.0,0.0,0.0
322,5350230.01,2021S05075350230.01,230.01,1.4481,35,0.0,0.0,0.0
323,5350230.02,2021S05075350230.02,230.02,0.9858,35,0.0,0.0,0.0
324,5350235.01,2021S05075350235.01,235.01,1.4071,35,0.0,0.0,0.0
325,5350235.02,2021S05075350235.02,235.02,1.078,35,0.0,0.0,0.0
326,5350236.01,2021S05075350236.01,236.01,0.9868,35,0.0,0.0,0.0
327,5350236.02,2021S05075350236.02,236.02,3.9589,35,0.0,0.0,0.0
328,5350238.01,2021S05075350238.01,238.01,1.0368,35,0.0,0.0,0.0
329,5350238.02,2021S05075350238.02,238.02,0.9766,35,0.0,0.0,0.0
330,5350240.01,2021S05075350240.01,240.01,1.2712,35,0.0,0.0,0.0
