CTUID,Neighbourhood,Before_After_Difference,Value
5350101.0,Junction Area,travel_time_to_first_dest_after,17.0
5350101.0,Junction Area,travel_time_to_first_dest_reduction,0.0
5350102.02,High Park North,travel_time_to_first_dest_before,27.0
5350102.02,High Park North,travel_time_to_first_dest_after,24.0
5350102.02,High Park North,travel_time_to_first_dest_reduction,3.0
5350102.03,High Park North,travel_time_to_first_dest_before,28.0
5350102.03,High Park North,travel_time_to_first_dest_after,24.0
5350102.03,High Park North,travel_time_to_first_dest_reduction,4.0
5350102.04,High Park North,travel_time_to_first_dest_before,23.0
5350102.04,High Park North,travel_time_to_first_dest_after,23.0
5350102.04,High Park North,travel_time_to_first_dest_reduction,0.0
5350102.05,High Park North,travel_time_to_first_dest_before,29.0
5350102.05,High Park North,travel_time_to_first_dest_after,28.0
5350102.05,High Park North,travel_time_to_first_dest_reduction,1.0
5350103.0,High Park North,travel_time_to_first_dest_before,20.0
5350103.0,High Park North,travel_time_to_first_dest_after,20.0
5350103.0,High Park North,travel_time_to_first_dest_reduction,0.0
5350104.0,Runnymede-Bloor West Village,travel_time_to_first_dest_before,17.0
5350104.0,Runnymede-Bloor West Village,travel_time_to_first_dest_after,17.0
5350104.0,Runnymede-Bloor West Village,travel_time_to_first_dest_reduction,0.0
5350105.0,Junction Area,travel_time_to_first_dest_before,8.0
5350105.0,Junction Area,travel_time_to_first_dest_after,8.0
5350105.0,Junction Area,travel_time_to_first_dest_reduction,0.0
5350106.0,Junction Area,travel_time_to_first_dest_before,23.0
5350106.0,Junction Area,travel_time_to_first_dest_after,23.0
5350106.0,Junction Area,travel_time_to_first_dest_reduction,0.0
5350107.0,Weston-Pelham Park,travel_time_to_first_dest_before,23.0
5350107.0,Weston-Pelham Park,travel_time_to_first_dest_after,23.0
