CTUID,Job_type,Time,Num_jobs
5350332.00,Manufacturing and Warehousing,before,1311.0
5350333.00,Manufacturing and Warehousing,before,564.0
5350334.00,Manufacturing and Warehousing,before,219.0
5350335.00,Manufacturing and Warehousing,before,556.0
5350336.00,Manufacturing and Warehousing,before,666.0
5350337.01,Manufacturing and Warehousing,before,648.0
5350337.02,Manufacturing and Warehousing,before,257.0
5350338.00,Manufacturing and Warehousing,before,625.0
5350339.00,Manufacturing and Warehousing,before,66.0
5350340.00,Manufacturing and Warehousing,before,930.0
5350341.02,Manufacturing and Warehousing,before,764.0
5350341.03,Manufacturing and Warehousing,before,894.0
5350341.04,Manufacturing and Warehousing,before,1222.0
5350342.00,Manufacturing and Warehousing,before,357.0
5350343.00,Manufacturing and Warehousing,before,704.0
5350344.01,Manufacturing and Warehousing,before,728.0
5350344.02,Manufacturing and Warehousing,before,758.0
5350345.00,Manufacturing and Warehousing,before,741.0
5350346.01,Manufacturing and Warehousing,before,1331.0
5350346.02,Manufacturing and Warehousing,before,6599.0
5350347.00,Manufacturing and Warehousing,before,6731.0
5350348.00,Manufacturing and Warehousing,before,4365.0
5350349.00,Manufacturing and Warehousing,before,6016.0
5350350.00,Manufacturing and Warehousing,before,4357.0
5350351.01,Manufacturing and Warehousing,before,7770.0
5350351.02,Manufacturing and Warehousing,before,3504.0
5350352.00,Manufacturing and Warehousing,before,12051.0
5350353.02,Manufacturing and Warehousing,before,5.0
5350353.03,Manufacturing and Warehousing,before,431.0
5350353.04,Manufacturing and Warehousing,before,417.0
5350354.00,Manufacturing and Warehousing,before,446.0
5350355.02,Manufacturing and Warehousing,before,186.0
5350355.04,Manufacturing and Warehousing,before,289.0
5350355.05,Manufacturing and Warehousing,before,209.0
5350355.06,Manufacturing and Warehousing,before,455.0
5350356.00,Manufacturing and Warehousing,before,6.0
5350357.01,Manufacturing and Warehousing,before,593.0
5350357.02,Manufacturing and Warehousing,before,11.0
5350358.01,Manufacturing and Warehousing,before,12.0
5350358.02,Manufacturing and Warehousing,before,819.0
5350358.03,Manufacturing and Warehousing,before,980.0
5350359.00,Manufacturing and Warehousing,before,817.0
5350360.00,Manufacturing and Warehousing,before,10.0
5350361.01,Manufacturing and Warehousing,before,3.0
5350361.02,Manufacturing and Warehousing,before,2.0
5350362.01,Manufacturing and Warehousing,before,86.0
5350362.02,Manufacturing and Warehousing,before,23.0
5350362.03,Manufacturing and Warehousing,before,600.0
5350362.04,Manufacturing and Warehousing,before,11.0
5350363.02,Manufacturing and Warehousing,before,761.0
5350363.04,Manufacturing and Warehousing,before,761.0
5350363.05,Manufacturing and Warehousing,before,12.0
5350363.06,Manufacturing and Warehousing,before,584.0
5350363.07,Manufacturing and Warehousing,before,3792.0
5350364.01,Manufacturing and Warehousing,before,0.0
5350364.02,Manufacturing and Warehousing,before,14.0
5350365.00,Manufacturing and Warehousing,before,581.0
5350366.00,Manufacturing and Warehousing,before,265.0
5350367.01,Manufacturing and Warehousing,before,840.0
5350367.02,Manufacturing and Warehousing,before,265.0
5350368.01,Manufacturing and Warehousing,before,11490.0
5350368.02,Manufacturing and Warehousing,before,2130.0
5350369.00,Manufacturing and Warehousing,before,3458.0
5350370.01,Manufacturing and Warehousing,before,8341.0
5350370.02,Manufacturing and Warehousing,before,10030.0
5350370.03,Manufacturing and Warehousing,before,9372.0
5350371.00,Manufacturing and Warehousing,before,7761.0
5350372.00,Manufacturing and Warehousing,before,11497.0
5350373.00,Manufacturing and Warehousing,before,11606.0
5350374.01,Manufacturing and Warehousing,before,2668.0
5350374.02,Manufacturing and Warehousing,before,12.0
5350374.03,Manufacturing and Warehousing,before,1979.0
5350375.01,Manufacturing and Warehousing,before,98.0
5350375.02,Manufacturing and Warehousing,before,6011.0
5350375.03,Manufacturing and Warehousing,before,163.0
5350375.04,Manufacturing and Warehousing,before,2.0
5350375.05,Manufacturing and Warehousing,before,4.0
5350376.01,Manufacturing and Warehousing,before,2737.0
5350376.02,Manufacturing and Warehousing,before,756.0
5350376.04,Manufacturing and Warehousing,before,1286.0
5350376.05,Manufacturing and Warehousing,before,758.0
5350376.06,Manufacturing and Warehousing,before,5620.0
5350376.08,Manufacturing and Warehousing,before,1356.0
5350376.09,Manufacturing and Warehousing,before,598.0
5350376.11,Manufacturing and Warehousing,before,1888.0
5350376.12,Manufacturing and Warehousing,before,1354.0
5350376.13,Manufacturing and Warehousing,before,1356.0
5350376.14,Manufacturing and Warehousing,before,1356.0
5350376.15,Manufacturing and Warehousing,before,753.0
5350376.16,Manufacturing and Warehousing,before,10067.0
5350377.02,Manufacturing and Warehousing,before,4774.0
5350377.03,Manufacturing and Warehousing,before,2375.0
5350377.04,Manufacturing and Warehousing,before,3130.0
5350377.06,Manufacturing and Warehousing,before,753.0
