CTUID,Neighbourhoods,Metric_Type,Metric_Name,Category,Before_After_Benefit,Value
5350075.00,Greenwood-Coxwell,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350075.00,Greenwood-Coxwell,Social,Number of Destinations within 30 mins,Hospital,benefit,1.0
5350076.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350076.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350076.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350077.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350077.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350077.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,benefit,1.0
5350078.00,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350078.00,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350078.00,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350079.00,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350079.00,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350079.00,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350080.01,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350080.01,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350080.01,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,benefit,1.0
5350080.02,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350080.02,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350080.02,East End-Danforth,Social,Number of Destinations within 30 mins,Hospital,benefit,1.0
5350081.00,Danforth,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350081.00,Danforth,Social,Number of Destinations within 30 mins,Hospital,after,2.0
