CTUID,Neighbourhood,Timeframe,Total Destinations
5350079.00,East End-Danforth,total_destinations_within_30_mins_before,0
5350079.00,East End-Danforth,total_destinations_within_30_mins_diff,0
5350080.01,East End-Danforth,total_destinations_within_30_mins_after,1
5350080.01,East End-Danforth,total_destinations_within_30_mins_before,0
5350080.01,East End-Danforth,total_destinations_within_30_mins_diff,1
5350080.02,East End-Danforth,total_destinations_within_30_mins_after,2
5350080.02,East End-Danforth,total_destinations_within_30_mins_before,1
5350080.02,East End-Danforth,total_destinations_within_30_mins_diff,1
5350081.00,Danforth,total_destinations_within_30_mins_after,2
5350081.00,Danforth,total_destinations_within_30_mins_before,1
5350081.00,Danforth,total_destinations_within_30_mins_diff,1
5350082.00,Danforth,total_destinations_within_30_mins_after,4
5350082.00,Danforth,total_destinations_within_30_mins_before,1
5350082.00,Danforth,total_destinations_within_30_mins_diff,3
5350083.00,Danforth,total_destinations_within_30_mins_after,4
5350083.00,Danforth,total_destinations_within_30_mins_before,1
5350083.00,Danforth,total_destinations_within_30_mins_diff,3
5350084.00,Playter Estates-Danforth,total_destinations_within_30_mins_after,4
5350084.00,Playter Estates-Danforth,total_destinations_within_30_mins_before,2
5350084.00,Playter Estates-Danforth,total_destinations_within_30_mins_diff,2
5350085.00,Playter Estates-Danforth,total_destinations_within_30_mins_after,4
5350085.00,Playter Estates-Danforth,total_destinations_within_30_mins_before,2
5350085.00,Playter Estates-Danforth,total_destinations_within_30_mins_diff,2
5350086.00,Rosedale-Moore Park,total_destinations_within_30_mins_after,1
5350086.00,Rosedale-Moore Park,total_destinations_within_30_mins_before,1
5350086.00,Rosedale-Moore Park,total_destinations_within_30_mins_diff,0
5350087.00,Rosedale-Moore Park,total_destinations_within_30_mins_after,2
5350087.00,Rosedale-Moore Park,total_destinations_within_30_mins_before,2
5350087.00,Rosedale-Moore Park,total_destinations_within_30_mins_diff,0
5350088.00,Rosedale-Moore Park,total_destinations_within_30_mins_after,11
5350088.00,Rosedale-Moore Park,total_destinations_within_30_mins_before,9
5350088.00,Rosedale-Moore Park,total_destinations_within_30_mins_diff,2
5350089.00,Annex,total_destinations_within_30_mins_after,11
5350089.00,Annex,total_destinations_within_30_mins_before,9
5350089.00,Annex,total_destinations_within_30_mins_diff,2
5350090.00,Annex,total_destinations_within_30_mins_after,8
5350090.00,Annex,total_destinations_within_30_mins_before,8
5350090.00,Annex,total_destinations_within_30_mins_diff,0
5350091.01,Annex,total_destinations_within_30_mins_after,12
5350091.01,Annex,total_destinations_within_30_mins_before,11
5350091.01,Annex,total_destinations_within_30_mins_diff,1
5350091.02,Annex,total_destinations_within_30_mins_after,10
5350091.02,Annex,total_destinations_within_30_mins_before,10
5350091.02,Annex,total_destinations_within_30_mins_diff,0
5350092.00,Annex,total_destinations_within_30_mins_after,9
5350092.00,Annex,total_destinations_within_30_mins_before,8
5350092.00,Annex,total_destinations_within_30_mins_diff,1
5350093.00,Annex,total_destinations_within_30_mins_after,7
5350093.00,Annex,total_destinations_within_30_mins_before,2
5350093.00,Annex,total_destinations_within_30_mins_diff,5
5350094.00,Dovercourt Village,total_destinations_within_30_mins_after,4
5350094.00,Dovercourt Village,total_destinations_within_30_mins_before,2
5350094.00,Dovercourt Village,total_destinations_within_30_mins_diff,2
5350095.00,Dovercourt Village,total_destinations_within_30_mins_after,3
5350095.00,Dovercourt Village,total_destinations_within_30_mins_before,1
5350095.00,Dovercourt Village,total_destinations_within_30_mins_diff,2
5350096.01,Dovercourt Village,total_destinations_within_30_mins_after,0
5350096.01,Dovercourt Village,total_destinations_within_30_mins_before,0
5350096.01,Dovercourt Village,total_destinations_within_30_mins_diff,0
5350096.02,Dovercourt Village,total_destinations_within_30_mins_after,5
5350096.02,Dovercourt Village,total_destinations_within_30_mins_before,1
5350096.02,Dovercourt Village,total_destinations_within_30_mins_diff,4
5350097.01,Junction-Wallace Emerson,total_destinations_within_30_mins_after,6
5350097.01,Junction-Wallace Emerson,total_destinations_within_30_mins_before,0
5350097.01,Junction-Wallace Emerson,total_destinations_within_30_mins_diff,6
5350097.03,Junction-Wallace Emerson,total_destinations_within_30_mins_after,0
5350097.03,Junction-Wallace Emerson,total_destinations_within_30_mins_before,0
5350097.03,Junction-Wallace Emerson,total_destinations_within_30_mins_diff,0
5350097.04,Junction-Wallace Emerson,total_destinations_within_30_mins_after,0
5350097.04,Junction-Wallace Emerson,total_destinations_within_30_mins_before,0
5350097.04,Junction-Wallace Emerson,total_destinations_within_30_mins_diff,0
5350098.00,Junction-Wallace Emerson,total_destinations_within_30_mins_after,1
5350098.00,Junction-Wallace Emerson,total_destinations_within_30_mins_before,1
5350098.00,Junction-Wallace Emerson,total_destinations_within_30_mins_diff,0
5350099.00,High Park North,total_destinations_within_30_mins_after,2
5350099.00,High Park North,total_destinations_within_30_mins_before,2
5350099.00,High Park North,total_destinations_within_30_mins_diff,0
5350100.00,Junction Area,total_destinations_within_30_mins_after,1
5350100.00,Junction Area,total_destinations_within_30_mins_before,1
5350100.00,Junction Area,total_destinations_within_30_mins_diff,0
5350101.00,Junction Area,total_destinations_within_30_mins_after,1
5350101.00,Junction Area,total_destinations_within_30_mins_before,1
5350101.00,Junction Area,total_destinations_within_30_mins_diff,0
5350102.02,High Park North,total_destinations_within_30_mins_after,1
5350102.02,High Park North,total_destinations_within_30_mins_before,1
5350102.02,High Park North,total_destinations_within_30_mins_diff,0
5350102.03,High Park North,total_destinations_within_30_mins_after,1
5350102.03,High Park North,total_destinations_within_30_mins_before,1
5350102.03,High Park North,total_destinations_within_30_mins_diff,0
5350102.04,High Park North,total_destinations_within_30_mins_after,1
5350102.04,High Park North,total_destinations_within_30_mins_before,1
5350102.04,High Park North,total_destinations_within_30_mins_diff,0
5350102.05,High Park North,total_destinations_within_30_mins_after,1
5350102.05,High Park North,total_destinations_within_30_mins_before,1
5350102.05,High Park North,total_destinations_within_30_mins_diff,0
5350103.00,High Park North,total_destinations_within_30_mins_after,1
5350103.00,High Park North,total_destinations_within_30_mins_before,1
5350103.00,High Park North,total_destinations_within_30_mins_diff,0
5350104.00,Runnymede-Bloor West Village,total_destinations_within_30_mins_after,1
5350104.00,Runnymede-Bloor West Village,total_destinations_within_30_mins_before,1
5350104.00,Runnymede-Bloor West Village,total_destinations_within_30_mins_diff,0
5350105.00,Junction Area,total_destinations_within_30_mins_after,1
5350105.00,Junction Area,total_destinations_within_30_mins_before,1
5350105.00,Junction Area,total_destinations_within_30_mins_diff,0
5350106.00,Junction Area,total_destinations_within_30_mins_after,1
5350106.00,Junction Area,total_destinations_within_30_mins_before,1
5350106.00,Junction Area,total_destinations_within_30_mins_diff,0
5350107.00,Weston-Pelham Park,total_destinations_within_30_mins_after,1
5350107.00,Weston-Pelham Park,total_destinations_within_30_mins_before,1
5350107.00,Weston-Pelham Park,total_destinations_within_30_mins_diff,0
5350108.00,Weston-Pelham Park,total_destinations_within_30_mins_after,0
5350108.00,Weston-Pelham Park,total_destinations_within_30_mins_before,0
5350108.00,Weston-Pelham Park,total_destinations_within_30_mins_diff,0
5350109.00,Junction-Wallace Emerson,total_destinations_within_30_mins_after,0
5350109.00,Junction-Wallace Emerson,total_destinations_within_30_mins_before,0
5350109.00,Junction-Wallace Emerson,total_destinations_within_30_mins_diff,0
5350110.00,Corso Italia-Davenport,total_destinations_within_30_mins_after,0
5350110.00,Corso Italia-Davenport,total_destinations_within_30_mins_before,0
5350110.00,Corso Italia-Davenport,total_destinations_within_30_mins_diff,0
5350111.00,Corso Italia-Davenport,total_destinations_within_30_mins_after,0
5350111.00,Corso Italia-Davenport,total_destinations_within_30_mins_before,0
5350111.00,Corso Italia-Davenport,total_destinations_within_30_mins_diff,0
5350112.00,Corso Italia-Davenport,total_destinations_within_30_mins_after,0
5350112.00,Corso Italia-Davenport,total_destinations_within_30_mins_before,0
5350112.00,Corso Italia-Davenport,total_destinations_within_30_mins_diff,0
