CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350045.0,Little Portugal,Economic,Travel Time to Key Work Locations,35.0,Downtown Toronto,before,35.0
5350045.0,Little Portugal,Economic,Travel Time to Key Work Locations,38.0,Etobicoke Centre,before,38.0
5350045.0,Little Portugal,Economic,Travel Time to Key Work Locations,40.0,Yonge-Eglinton Centre,before,40.0
5350045.0,Little Portugal,Economic,Travel Time to Key Work Locations,54.0,North York Centre,before,54.0
5350045.0,Little Portugal,Economic,Travel Time to Key Work Locations,82.0,Scarborough Centre,before,82.0
5350046.0,Little Portugal,Economic,Travel Time to Key Work Locations,39.0,Downtown Toronto,before,39.0
5350046.0,Little Portugal,Economic,Travel Time to Key Work Locations,42.0,Etobicoke Centre,before,42.0
5350046.0,Little Portugal,Economic,Travel Time to Key Work Locations,44.0,Yonge-Eglinton Centre,before,44.0
5350046.0,Little Portugal,Economic,Travel Time to Key Work Locations,59.0,North York Centre,before,59.0
5350046.0,Little Portugal,Economic,Travel Time to Key Work Locations,87.0,Scarborough Centre,before,87.0
5350048.0,Roncesvalles,Economic,Travel Time to Key Work Locations,49.0,Downtown Toronto,before,49.0
5350048.0,Roncesvalles,Economic,Travel Time to Key Work Locations,44.0,Etobicoke Centre,before,44.0
5350048.0,Roncesvalles,Economic,Travel Time to Key Work Locations,49.0,Yonge-Eglinton Centre,before,49.0
5350048.0,Roncesvalles,Economic,Travel Time to Key Work Locations,63.0,North York Centre,before,63.0
5350048.0,Roncesvalles,Economic,Travel Time to Key Work Locations,91.0,Scarborough Centre,before,91.0
5350049.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,52.0,Downtown Toronto,before,52.0
5350049.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,44.0,Etobicoke Centre,before,44.0
5350049.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,52.0,Yonge-Eglinton Centre,before,52.0
5350049.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,67.0,North York Centre,before,67.0
5350049.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,94.0,Scarborough Centre,before,94.0
5350051.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,45.0,Downtown Toronto,before,45.0
5350051.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,37.0,Etobicoke Centre,before,37.0
5350051.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,44.0,Yonge-Eglinton Centre,before,44.0
5350051.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,59.0,North York Centre,before,59.0
5350051.0,High Park-Swansea,Economic,Travel Time to Key Work Locations,86.0,Scarborough Centre,before,86.0
5350052.0,Roncesvalles,Economic,Travel Time to Key Work Locations,42.0,Downtown Toronto,before,42.0
5350052.0,Roncesvalles,Economic,Travel Time to Key Work Locations,37.0,Etobicoke Centre,before,37.0
5350052.0,Roncesvalles,Economic,Travel Time to Key Work Locations,45.0,Yonge-Eglinton Centre,before,45.0
5350052.0,Roncesvalles,Economic,Travel Time to Key Work Locations,59.0,North York Centre,before,59.0
5350052.0,Roncesvalles,Economic,Travel Time to Key Work Locations,87.0,Scarborough Centre,before,87.0
5350053.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,37.0,Downtown Toronto,before,37.0
5350053.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,34.0,Etobicoke Centre,before,34.0
5350053.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,36.0,Yonge-Eglinton Centre,before,36.0
5350053.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,50.0,North York Centre,before,50.0
5350053.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,78.0,Scarborough Centre,before,78.0
5350054.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,36.0,Downtown Toronto,before,36.0
5350054.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,33.0,Etobicoke Centre,before,33.0
5350054.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,34.0,Yonge-Eglinton Centre,before,34.0
5350054.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,49.0,North York Centre,before,49.0
5350054.0,Dufferin Grove,Economic,Travel Time to Key Work Locations,77.0,Scarborough Centre,before,77.0
5350055.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,38.0,Downtown Toronto,before,38.0
5350055.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,37.0,Etobicoke Centre,before,37.0
5350055.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,37.0,Yonge-Eglinton Centre,before,37.0
5350055.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,51.0,North York Centre,before,51.0
5350055.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,79.0,Scarborough Centre,before,79.0
5350056.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,36.0,Downtown Toronto,before,36.0
5350056.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,41.0,Etobicoke Centre,before,41.0
5350056.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,36.0,Yonge-Eglinton Centre,before,36.0
5350056.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,51.0,North York Centre,before,51.0
5350056.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,78.0,Scarborough Centre,before,78.0
5350057.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,31.0,Downtown Toronto,before,31.0
5350057.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,39.0,Etobicoke Centre,before,39.0
5350057.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,30.0,Yonge-Eglinton Centre,before,30.0
5350057.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,45.0,North York Centre,before,45.0
5350057.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,72.0,Scarborough Centre,before,72.0
5350058.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,35.0,Downtown Toronto,before,35.0
5350058.0,Palmerston-Little Italy,Economic,Travel Time to Key Work Locations,47.0,Etobicoke Centre,before,47.0
