CTUID,AREA_NAME
5350324.06,Hillcrest Village
5350331.03,Scarborough Village
5350331.04,Scarborough Village
5350351.01,Ionview
5350351.02,Ionview
5350353.03,Eglinton East
5350353.04,Eglinton East
5350355.04,Eglinton East
5350363.04,Morningside
5350363.05,Morningside
5350376.11,L'Amoreaux West
5350376.12,L'Amoreaux West
5350376.13,Steeles
5350376.14,Steeles
5350378.16,Malvern East
5350378.17,Malvern East
5350311.05,York University Heights
5350311.06,York University Heights
5350378.18,Milliken
5350378.19,Milliken
5350378.20,Milliken
5350378.21,Milliken
5350378.22,Milliken
5350194.01,Thorncliffe Park
5350194.02,Thorncliffe Park
5350194.03,Thorncliffe Park
5350194.04,Thorncliffe Park
5350317.04,Westminster-Branson
5350317.05,Westminster-Branson
5350341.03,Clairlea-Birchmount
5350341.04,Oakridge
5350250.04,Mount Olive-Silverstone-Jamestown
5350250.05,Mount Olive-Silverstone-Jamestown
5350269.01,Fenside-Parkwoods
5350269.02,Parkwoods-O'Connor Hills
5350344.01,Kennedy Park
5350344.02,Kennedy Park
5350011.01,Wellington Place
5350011.02,Wellington Place
5350011.03,Wellington Place
5350044.01,Little Portugal
5350044.02,Little Portugal
5350300.01,Avondale
5350300.02,Avondale
5350300.03,Avondale
5350318.01,Newtonbrook West
5350318.02,Newtonbrook West
5350305.05,Bayview Village
5350305.06,Bayview Village
5350377.08,Agincourt South-Malvern West
5350377.09,Agincourt South-Malvern West
5350308.05,Willowdale West
5350308.06,Willowdale West
5350308.07,Willowdale West
5350210.03,Humber Bay Shores
5350210.04,Humber Bay Shores
5350062.03,Bay-Cloverhill
5350062.04,Bay-Cloverhill
5350017.01,St Lawrence-East Bayfront-The Islands
5350017.02,St Lawrence-East Bayfront-The Islands
